itr : 0 , step: 1000, loss : 0.966861486435,auc : 0.506766498089
itr : 0 , step: 2000, loss : 0.776883721352,auc : 0.507123410702
itr : 0 , step: 3000, loss : 0.737972259521,auc : 0.508150875568
itr : 0 , step: 4000, loss : 0.807516694069,auc : 0.508724212646
itr : 0 , step: 5000, loss : 0.727451324463,auc : 0.509497106075
itr : 0 , step: 6000, loss : 0.723532915115,auc : 0.51008361578
itr : 0 , step: 7000, loss : 0.708459317684,auc : 0.51102244854
itr : 0 , step: 8000, loss : 0.695632338524,auc : 0.511734962463
itr : 0 , step: 9000, loss : 0.690175950527,auc : 0.512825012207
itr : 0 , step: 10000, loss : 0.671487510204,auc : 0.51385641098
itr : 0 , step: 11000, loss : 0.723524332047,auc : 0.514971971512
itr : 0 , step: 12000, loss : 0.672723591328,auc : 0.516287565231
itr : 0 , step: 13000, loss : 0.749259412289,auc : 0.517617583275
itr : 0 , step: 14000, loss : 0.659190773964,auc : 0.519072771072
itr : 0 , step: 15000, loss : 0.688629686832,auc : 0.520967841148
itr : 0 , step: 16000, loss : 0.694816589355,auc : 0.522706508636
itr : 0 , step: 17000, loss : 0.654870033264,auc : 0.524900734425
itr : 0 , step: 18000, loss : 0.669525146484,auc : 0.527012050152
itr : 0 , step: 19000, loss : 0.636703968048,auc : 0.529451727867
itr : 0 , step: 20000, loss : 0.690480113029,auc : 0.531851112843
itr : 1 , step: 1000, loss : 0.684417903423,auc : 0.535571038723
itr : 1 , step: 2000, loss : 0.650527000427,auc : 0.538571417332
itr : 1 , step: 3000, loss : 0.69170820713,auc : 0.541804850101
itr : 1 , step: 4000, loss : 0.710586428642,auc : 0.545133590698
itr : 1 , step: 5000, loss : 0.689208269119,auc : 0.548536062241
itr : 1 , step: 6000, loss : 0.622302889824,auc : 0.552102208138
itr : 1 , step: 7000, loss : 0.656693696976,auc : 0.555869400501
itr : 1 , step: 8000, loss : 0.652118980885,auc : 0.559539973736
itr : 1 , step: 9000, loss : 0.698845148087,auc : 0.563184916973
itr : 1 , step: 10000, loss : 0.65152323246,auc : 0.567124068737
itr : 1 , step: 11000, loss : 0.684237480164,auc : 0.570993483067
itr : 1 , step: 12000, loss : 0.649391174316,auc : 0.575000524521
