itr : 0 , step: 1000, loss : 0.695848464966,auc : 0.508338272572
itr : 0 , step: 2000, loss : 0.694835722446,auc : 0.510606050491
itr : 0 , step: 3000, loss : 0.711333632469,auc : 0.515395402908
itr : 0 , step: 4000, loss : 0.675768375397,auc : 0.520283341408
itr : 0 , step: 5000, loss : 0.68761408329,auc : 0.526301264763
itr : 0 , step: 6000, loss : 0.67167288065,auc : 0.533154308796
itr : 0 , step: 7000, loss : 0.667013943195,auc : 0.540684998035
itr : 0 , step: 8000, loss : 0.700073778629,auc : 0.54836922884
itr : 0 , step: 9000, loss : 0.73859244585,auc : 0.5560567379
itr : 0 , step: 10000, loss : 0.666979193687,auc : 0.563273489475
itr : 0 , step: 11000, loss : 0.671083629131,auc : 0.569601893425
itr : 0 , step: 12000, loss : 0.651453256607,auc : 0.576244175434
itr : 0 , step: 13000, loss : 0.6405595541,auc : 0.582551836967
itr : 0 , step: 14000, loss : 0.627384662628,auc : 0.588695287704
itr : 0 , step: 15000, loss : 0.703620910645,auc : 0.594146490097
itr : 0 , step: 16000, loss : 0.657907247543,auc : 0.599415361881
itr : 0 , step: 17000, loss : 0.653243839741,auc : 0.604454338551
itr : 0 , step: 18000, loss : 0.648872554302,auc : 0.609144747257
itr : 0 , step: 19000, loss : 0.586504042149,auc : 0.613667607307
itr : 0 , step: 20000, loss : 0.636068820953,auc : 0.618075072765
itr : 1 , step: 1000, loss : 0.636084616184,auc : 0.62384468317
itr : 1 , step: 2000, loss : 0.599759995937,auc : 0.627656638622
itr : 1 , step: 3000, loss : 0.621077299118,auc : 0.631449520588
itr : 1 , step: 4000, loss : 0.582562923431,auc : 0.635137557983
itr : 1 , step: 5000, loss : 0.612377464771,auc : 0.63866341114
itr : 1 , step: 6000, loss : 0.581571638584,auc : 0.642084717751
itr : 1 , step: 7000, loss : 0.620319843292,auc : 0.645439982414
itr : 1 , step: 8000, loss : 0.66050028801,auc : 0.648597061634
itr : 1 , step: 9000, loss : 0.690572977066,auc : 0.651764631271
itr : 1 , step: 10000, loss : 0.61504137516,auc : 0.654761314392
itr : 1 , step: 11000, loss : 0.598179221153,auc : 0.657514870167
itr : 1 , step: 12000, loss : 0.582657635212,auc : 0.660279452801
itr : 1 , step: 13000, loss : 0.587641954422,auc : 0.663021504879
itr : 1 , step: 14000, loss : 0.523888707161,auc : 0.665787160397
itr : 1 , step: 15000, loss : 0.636737346649,auc : 0.668358027935
itr : 1 , step: 16000, loss : 0.590740680695,auc : 0.670863389969
itr : 1 , step: 17000, loss : 0.562393128872,auc : 0.673372328281
itr : 1 , step: 18000, loss : 0.613528847694,auc : 0.675814509392
itr : 1 , step: 19000, loss : 0.527401685715,auc : 0.678205788136
itr : 1 , step: 20000, loss : 0.592568814754,auc : 0.680595755577
itr : 2 , step: 1000, loss : 0.556419849396,auc : 0.683831393719
itr : 2 , step: 2000, loss : 0.557255148888,auc : 0.686079502106
itr : 2 , step: 3000, loss : 0.545234680176,auc : 0.688379824162
itr : 2 , step: 4000, loss : 0.563192248344,auc : 0.690600931644
itr : 2 , step: 5000, loss : 0.536456525326,auc : 0.692816138268
itr : 2 , step: 6000, loss : 0.51265925169,auc : 0.694990754128
itr : 2 , step: 7000, loss : 0.595883369446,auc : 0.697122693062
itr : 2 , step: 8000, loss : 0.636131763458,auc : 0.699125945568
itr : 2 , step: 9000, loss : 0.679674863815,auc : 0.701172590256
itr : 2 , step: 10000, loss : 0.568396687508,auc : 0.703131258488
itr : 2 , step: 11000, loss : 0.565849065781,auc : 0.704949975014
itr : 2 , step: 12000, loss : 0.543508172035,auc : 0.706782221794
itr : 2 , step: 13000, loss : 0.544061899185,auc : 0.708617150784
itr : 2 , step: 14000, loss : 0.462583422661,auc : 0.710416376591
itr : 2 , step: 15000, loss : 0.604336857796,auc : 0.712139308453
itr : 2 , step: 16000, loss : 0.597479879856,auc : 0.713790416718
itr : 2 , step: 17000, loss : 0.492205679417,auc : 0.71544522047
itr : 2 , step: 18000, loss : 0.611572623253,auc : 0.717030584812
itr : 2 , step: 19000, loss : 0.499424010515,auc : 0.718585133553
itr : 2 , step: 20000, loss : 0.553776979446,auc : 0.720138192177
itr : 3 , step: 1000, loss : 0.5393460989,auc : 0.722212612629
itr : 3 , step: 2000, loss : 0.522064089775,auc : 0.723659515381
itr : 3 , step: 3000, loss : 0.52968788147,auc : 0.725119769573
itr : 3 , step: 4000, loss : 0.538369417191,auc : 0.726513326168
itr : 3 , step: 5000, loss : 0.498431146145,auc : 0.727920532227
itr : 3 , step: 6000, loss : 0.477929443121,auc : 0.729293227196
itr : 3 , step: 7000, loss : 0.56014585495,auc : 0.730624973774
itr : 3 , step: 8000, loss : 0.606761753559,auc : 0.731880545616
itr : 3 , step: 9000, loss : 0.659319162369,auc : 0.733180224895
itr : 3 , step: 10000, loss : 0.533817231655,auc : 0.734420895576
itr : 3 , step: 11000, loss : 0.55060172081,auc : 0.735576927662
itr : 3 , step: 12000, loss : 0.51572728157,auc : 0.736745357513
itr : 3 , step: 13000, loss : 0.520393908024,auc : 0.737927794456
itr : 3 , step: 14000, loss : 0.429094493389,auc : 0.739079654217
itr : 3 , step: 15000, loss : 0.587468743324,auc : 0.740194141865
itr : 3 , step: 16000, loss : 0.590591311455,auc : 0.741254746914
itr : 3 , step: 17000, loss : 0.464236050844,auc : 0.742326438427
itr : 3 , step: 18000, loss : 0.596139550209,auc : 0.74335193634
itr : 3 , step: 19000, loss : 0.499805301428,auc : 0.74436300993
itr : 3 , step: 20000, loss : 0.537665247917,auc : 0.745386600494
itr : 4 , step: 1000, loss : 0.522914350033,auc : 0.746744155884
itr : 4 , step: 2000, loss : 0.508410155773,auc : 0.747701942921
itr : 4 , step: 3000, loss : 0.521075606346,auc : 0.748671710491
itr : 4 , step: 4000, loss : 0.521667420864,auc : 0.749585926533
itr : 4 , step: 5000, loss : 0.470980167389,auc : 0.75053358078
itr : 4 , step: 6000, loss : 0.451969623566,auc : 0.751455187798
itr : 4 , step: 7000, loss : 0.541141867638,auc : 0.752353191376
itr : 4 , step: 8000, loss : 0.591820955276,auc : 0.753193616867
itr : 4 , step: 9000, loss : 0.645327270031,auc : 0.754075050354
itr : 4 , step: 10000, loss : 0.520022690296,auc : 0.754919469357
itr : 4 , step: 11000, loss : 0.537327528,auc : 0.755709350109
itr : 4 , step: 12000, loss : 0.490253090858,auc : 0.756507158279
itr : 4 , step: 13000, loss : 0.501685023308,auc : 0.757323622704
itr : 4 , step: 14000, loss : 0.412559628487,auc : 0.758118450642
itr : 4 , step: 15000, loss : 0.578671097755,auc : 0.758887469769
itr : 4 , step: 16000, loss : 0.584275484085,auc : 0.759619474411
itr : 4 , step: 17000, loss : 0.455575078726,auc : 0.760366380215
itr : 4 , step: 18000, loss : 0.585286557674,auc : 0.76108109951
itr : 4 , step: 19000, loss : 0.499897509813,auc : 0.761785030365
itr : 4 , step: 20000, loss : 0.530189156532,auc : 0.762510478497
Eval train : loss = 103.940845102 auc = 0.824148464253
Eval test : loss = 16.6927745342 auc = 0.798131745115
