itr : 0 , step: 1000, loss : 2.28250598907,auc : 0.498846828938
itr : 0 , step: 2000, loss : 1.44157314301,auc : 0.497125029564
itr : 0 , step: 3000, loss : 1.49803555012,auc : 0.498029023409
itr : 0 , step: 4000, loss : 1.69007694721,auc : 0.498706966639
itr : 0 , step: 5000, loss : 1.20834255219,auc : 0.499763607979
itr : 0 , step: 6000, loss : 1.05782318115,auc : 0.500135421753
itr : 0 , step: 7000, loss : 1.23853111267,auc : 0.500809013844
itr : 0 , step: 8000, loss : 1.20739197731,auc : 0.501424789429
itr : 0 , step: 9000, loss : 0.946429729462,auc : 0.501958608627
itr : 0 , step: 10000, loss : 1.02776062489,auc : 0.502700328827
itr : 0 , step: 11000, loss : 1.14512097836,auc : 0.503061056137
itr : 0 , step: 12000, loss : 0.997246980667,auc : 0.503434956074
itr : 0 , step: 13000, loss : 0.893968045712,auc : 0.50389957428
itr : 0 , step: 14000, loss : 0.908141791821,auc : 0.504411995411
itr : 0 , step: 15000, loss : 0.911016583443,auc : 0.505011379719
itr : 0 , step: 16000, loss : 0.934547066689,auc : 0.505371272564
itr : 0 , step: 17000, loss : 0.925833761692,auc : 0.505682826042
itr : 0 , step: 18000, loss : 1.11574792862,auc : 0.506011366844
itr : 0 , step: 19000, loss : 0.936993360519,auc : 0.506346404552
itr : 0 , step: 20000, loss : 0.928858399391,auc : 0.506719946861
itr : 1 , step: 1000, loss : 1.01857578754,auc : 0.507527589798
itr : 1 , step: 2000, loss : 0.79202902317,auc : 0.508136510849
itr : 1 , step: 3000, loss : 0.859725773335,auc : 0.508850753307
itr : 1 , step: 4000, loss : 1.02115094662,auc : 0.509442746639
itr : 1 , step: 5000, loss : 0.875939965248,auc : 0.510065853596
itr : 1 , step: 6000, loss : 0.842842936516,auc : 0.51060628891
itr : 1 , step: 7000, loss : 0.866211950779,auc : 0.511161983013
itr : 1 , step: 8000, loss : 0.878091990948,auc : 0.511736750603
itr : 1 , step: 9000, loss : 0.827255547047,auc : 0.512305498123
itr : 1 , step: 10000, loss : 0.810450553894,auc : 0.512920975685
itr : 1 , step: 11000, loss : 0.920989632607,auc : 0.513400495052
itr : 1 , step: 12000, loss : 0.763041615486,auc : 0.513916194439
itr : 1 , step: 13000, loss : 0.803540766239,auc : 0.514438450336
itr : 1 , step: 14000, loss : 0.716954350471,auc : 0.514968574047
itr : 1 , step: 15000, loss : 0.782343924046,auc : 0.515499711037
itr : 1 , step: 16000, loss : 0.80595856905,auc : 0.515948832035
itr : 1 , step: 17000, loss : 0.82332098484,auc : 0.516408324242
itr : 1 , step: 18000, loss : 0.94000428915,auc : 0.516837000847
itr : 1 , step: 19000, loss : 0.77914917469,auc : 0.517298161983
itr : 1 , step: 20000, loss : 0.796673476696,auc : 0.517743885517
itr : 2 , step: 1000, loss : 0.908290982246,auc : 0.518492758274
itr : 2 , step: 2000, loss : 0.742323994637,auc : 0.519061863422
itr : 2 , step: 3000, loss : 0.741893291473,auc : 0.519682168961
itr : 2 , step: 4000, loss : 0.879415154457,auc : 0.52023768425
itr : 2 , step: 5000, loss : 0.786161005497,auc : 0.520790159702
itr : 2 , step: 6000, loss : 0.758604109287,auc : 0.521305322647
itr : 2 , step: 7000, loss : 0.764108598232,auc : 0.521819114685
itr : 2 , step: 8000, loss : 0.781291484833,auc : 0.522364318371
itr : 2 , step: 9000, loss : 0.805148005486,auc : 0.522888720036
itr : 2 , step: 10000, loss : 0.754585087299,auc : 0.523442149162
itr : 2 , step: 11000, loss : 0.846500217915,auc : 0.523924231529
itr : 2 , step: 12000, loss : 0.692984580994,auc : 0.524434924126
itr : 2 , step: 13000, loss : 0.763122081757,auc : 0.524938225746
itr : 2 , step: 14000, loss : 0.664217293262,auc : 0.525442779064
itr : 2 , step: 15000, loss : 0.747008800507,auc : 0.525938093662
itr : 2 , step: 16000, loss : 0.756119012833,auc : 0.526378214359
itr : 2 , step: 17000, loss : 0.771146178246,auc : 0.526836752892
itr : 2 , step: 18000, loss : 0.865390598774,auc : 0.527257025242
itr : 2 , step: 19000, loss : 0.738020718098,auc : 0.527719736099
itr : 2 , step: 20000, loss : 0.736177206039,auc : 0.528160810471
itr : 3 , step: 1000, loss : 0.863929569721,auc : 0.528841912746
itr : 3 , step: 2000, loss : 0.722411870956,auc : 0.529356896877
itr : 3 , step: 3000, loss : 0.696527421474,auc : 0.529906570911
itr : 3 , step: 4000, loss : 0.812750041485,auc : 0.530410945415
itr : 3 , step: 5000, loss : 0.745064020157,auc : 0.5309060812
itr : 3 , step: 6000, loss : 0.720552444458,auc : 0.531377196312
itr : 3 , step: 7000, loss : 0.72307574749,auc : 0.531846046448
itr : 3 , step: 8000, loss : 0.739821076393,auc : 0.532341897488
itr : 3 , step: 9000, loss : 0.798179626465,auc : 0.532810688019
itr : 3 , step: 10000, loss : 0.719104528427,auc : 0.53330540657
itr : 3 , step: 11000, loss : 0.805181384087,auc : 0.533753454685
itr : 3 , step: 12000, loss : 0.663746953011,auc : 0.534223139286
itr : 3 , step: 13000, loss : 0.74136775732,auc : 0.534684240818
itr : 3 , step: 14000, loss : 0.641638278961,auc : 0.535143971443
itr : 3 , step: 15000, loss : 0.734338760376,auc : 0.535594344139
itr : 3 , step: 16000, loss : 0.734552741051,auc : 0.536000490189
itr : 3 , step: 17000, loss : 0.746436476707,auc : 0.536425471306
itr : 3 , step: 18000, loss : 0.824714839458,auc : 0.53681397438
itr : 3 , step: 19000, loss : 0.719984173775,auc : 0.537244141102
itr : 3 , step: 20000, loss : 0.700422644615,auc : 0.537653505802
itr : 4 , step: 1000, loss : 0.835536122322,auc : 0.538260042667
itr : 4 , step: 2000, loss : 0.710139989853,auc : 0.538717925549
itr : 4 , step: 3000, loss : 0.67363524437,auc : 0.539203345776
itr : 4 , step: 4000, loss : 0.77461785078,auc : 0.53965318203
itr : 4 , step: 5000, loss : 0.724224865437,auc : 0.540093719959
itr : 4 , step: 6000, loss : 0.699633598328,auc : 0.540515244007
itr : 4 , step: 7000, loss : 0.702103376389,auc : 0.540936529636
itr : 4 , step: 8000, loss : 0.719803035259,auc : 0.54137891531
itr : 4 , step: 9000, loss : 0.792317152023,auc : 0.541792869568
itr : 4 , step: 10000, loss : 0.69471681118,auc : 0.542230248451
itr : 4 , step: 11000, loss : 0.778782606125,auc : 0.542634367943
itr : 4 , step: 12000, loss : 0.647970199585,auc : 0.543055772781
itr : 4 , step: 13000, loss : 0.728107869625,auc : 0.543469130993
itr : 4 , step: 14000, loss : 0.629111409187,auc : 0.543879985809
itr : 4 , step: 15000, loss : 0.728559494019,auc : 0.544283330441
itr : 4 , step: 16000, loss : 0.724491119385,auc : 0.544649243355
itr : 4 , step: 17000, loss : 0.732919931412,auc : 0.545033097267
itr : 4 , step: 18000, loss : 0.799362421036,auc : 0.545384466648
itr : 4 , step: 19000, loss : 0.709707319736,auc : 0.545772612095
itr : 4 , step: 20000, loss : 0.676903247833,auc : 0.546143114567
Eval train : loss = 150.002482653 auc = 0.610266643723
Eval test : loss = 25.0183204412 auc = 0.564703668955
