itr : 0 , step: 1000, loss : 1.58363986015,auc : 0.503104865551
itr : 0 , step: 2000, loss : 1.50984728336,auc : 0.502695858479
itr : 0 , step: 3000, loss : 1.59575736523,auc : 0.502764999866
itr : 0 , step: 4000, loss : 1.4115768671,auc : 0.502638339996
itr : 0 , step: 5000, loss : 1.03954315186,auc : 0.503569483757
itr : 0 , step: 6000, loss : 1.10039782524,auc : 0.503644645214
itr : 0 , step: 7000, loss : 1.10308122635,auc : 0.503639698029
itr : 0 , step: 8000, loss : 1.10138201714,auc : 0.504182934761
itr : 0 , step: 9000, loss : 1.29770541191,auc : 0.504355669022
itr : 0 , step: 10000, loss : 0.897553086281,auc : 0.504711449146
itr : 0 , step: 11000, loss : 1.20934593678,auc : 0.505049228668
itr : 0 , step: 12000, loss : 1.11596739292,auc : 0.505578160286
itr : 0 , step: 13000, loss : 1.26663923264,auc : 0.506052017212
itr : 0 , step: 14000, loss : 1.02598798275,auc : 0.506382584572
itr : 0 , step: 15000, loss : 0.830674290657,auc : 0.506924390793
itr : 0 , step: 16000, loss : 0.930863261223,auc : 0.507531642914
itr : 0 , step: 17000, loss : 0.984908461571,auc : 0.507912397385
itr : 0 , step: 18000, loss : 0.944068193436,auc : 0.508253097534
itr : 0 , step: 19000, loss : 0.927563786507,auc : 0.508632004261
itr : 0 , step: 20000, loss : 0.746475100517,auc : 0.508973658085
itr : 1 , step: 1000, loss : 0.946482419968,auc : 0.510001122952
itr : 1 , step: 2000, loss : 0.879662275314,auc : 0.510877907276
itr : 1 , step: 3000, loss : 0.89209908247,auc : 0.511816740036
itr : 1 , step: 4000, loss : 0.871854782104,auc : 0.512704908848
itr : 1 , step: 5000, loss : 0.836514055729,auc : 0.513637661934
itr : 1 , step: 6000, loss : 0.818188607693,auc : 0.514418184757
itr : 1 , step: 7000, loss : 0.846755743027,auc : 0.515133559704
itr : 1 , step: 8000, loss : 0.828087806702,auc : 0.515957593918
itr : 1 , step: 9000, loss : 0.944300711155,auc : 0.516715168953
itr : 1 , step: 10000, loss : 0.728202939034,auc : 0.517508268356
itr : 1 , step: 11000, loss : 0.910349190235,auc : 0.518208444118
itr : 1 , step: 12000, loss : 0.786025285721,auc : 0.518977999687
itr : 1 , step: 13000, loss : 0.901708424091,auc : 0.519786953926
itr : 1 , step: 14000, loss : 0.728307366371,auc : 0.520528972149
itr : 1 , step: 15000, loss : 0.736764788628,auc : 0.521308779716
itr : 1 , step: 16000, loss : 0.779668569565,auc : 0.522108018398
itr : 1 , step: 17000, loss : 0.745377779007,auc : 0.5228074193
itr : 1 , step: 18000, loss : 0.825744211674,auc : 0.523485958576
itr : 1 , step: 19000, loss : 0.757539987564,auc : 0.524206221104
itr : 1 , step: 20000, loss : 0.669837594032,auc : 0.524881005287
itr : 2 , step: 1000, loss : 0.784158349037,auc : 0.52595102787
itr : 2 , step: 2000, loss : 0.769412100315,auc : 0.526755571365
itr : 2 , step: 3000, loss : 0.720111489296,auc : 0.527575731277
itr : 2 , step: 4000, loss : 0.750204324722,auc : 0.528362810612
itr : 2 , step: 5000, loss : 0.738358676434,auc : 0.529176533222
itr : 2 , step: 6000, loss : 0.715187907219,auc : 0.529917657375
itr : 2 , step: 7000, loss : 0.757120788097,auc : 0.530625164509
itr : 2 , step: 8000, loss : 0.741359829903,auc : 0.531376242638
itr : 2 , step: 9000, loss : 0.833042025566,auc : 0.532092094421
itr : 2 , step: 10000, loss : 0.663520991802,auc : 0.532829582691
itr : 2 , step: 11000, loss : 0.783802390099,auc : 0.533513724804
itr : 2 , step: 12000, loss : 0.686475157738,auc : 0.534234046936
itr : 2 , step: 13000, loss : 0.79421377182,auc : 0.534971296787
itr : 2 , step: 14000, loss : 0.668875694275,auc : 0.535675466061
itr : 2 , step: 15000, loss : 0.711286187172,auc : 0.536389648914
itr : 2 , step: 16000, loss : 0.738564968109,auc : 0.537105798721
itr : 2 , step: 17000, loss : 0.677476584911,auc : 0.537770628929
itr : 2 , step: 18000, loss : 0.772370159626,auc : 0.538418650627
itr : 2 , step: 19000, loss : 0.717289686203,auc : 0.539096951485
itr : 2 , step: 20000, loss : 0.651661753654,auc : 0.539750277996
itr : 3 , step: 1000, loss : 0.73871243,auc : 0.54070442915
itr : 3 , step: 2000, loss : 0.737141430378,auc : 0.541405797005
itr : 3 , step: 3000, loss : 0.678477704525,auc : 0.542123436928
itr : 3 , step: 4000, loss : 0.713327050209,auc : 0.542818665504
itr : 3 , step: 5000, loss : 0.701186656952,auc : 0.54351991415
itr : 3 , step: 6000, loss : 0.674411654472,auc : 0.54418104887
itr : 3 , step: 7000, loss : 0.714574933052,auc : 0.544827163219
itr : 3 , step: 8000, loss : 0.71580606699,auc : 0.545489370823
itr : 3 , step: 9000, loss : 0.794865727425,auc : 0.546123206615
itr : 3 , step: 10000, loss : 0.636455655098,auc : 0.546779096127
itr : 3 , step: 11000, loss : 0.736455857754,auc : 0.547404170036
itr : 3 , step: 12000, loss : 0.648260891438,auc : 0.548049390316
itr : 3 , step: 13000, loss : 0.752464413643,auc : 0.548694431782
itr : 3 , step: 14000, loss : 0.647059857845,auc : 0.549329102039
itr : 3 , step: 15000, loss : 0.706281661987,auc : 0.549960196018
itr : 3 , step: 16000, loss : 0.721099972725,auc : 0.550585925579
itr : 3 , step: 17000, loss : 0.653930306435,auc : 0.551184058189
itr : 3 , step: 18000, loss : 0.742024004459,auc : 0.551765799522
itr : 3 , step: 19000, loss : 0.698810577393,auc : 0.55236941576
itr : 3 , step: 20000, loss : 0.641488730907,auc : 0.552958130836
itr : 4 , step: 1000, loss : 0.722158193588,auc : 0.553788721561
itr : 4 , step: 2000, loss : 0.716948509216,auc : 0.554395496845
itr : 4 , step: 3000, loss : 0.665498077869,auc : 0.555017113686
itr : 4 , step: 4000, loss : 0.699111521244,auc : 0.555623888969
itr : 4 , step: 5000, loss : 0.684998869896,auc : 0.556222975254
itr : 4 , step: 6000, loss : 0.650128722191,auc : 0.556795060635
itr : 4 , step: 7000, loss : 0.690154612064,auc : 0.557363092899
itr : 4 , step: 8000, loss : 0.70330965519,auc : 0.557934761047
itr : 4 , step: 9000, loss : 0.775224745274,auc : 0.55848056078
itr : 4 , step: 10000, loss : 0.620577096939,auc : 0.559050261974
itr : 4 , step: 11000, loss : 0.714453220367,auc : 0.559601187706
itr : 4 , step: 12000, loss : 0.630701363087,auc : 0.560165524483
itr : 4 , step: 13000, loss : 0.732113480568,auc : 0.560720384121
itr : 4 , step: 14000, loss : 0.637200057507,auc : 0.561276555061
itr : 4 , step: 15000, loss : 0.706382572651,auc : 0.561823904514
itr : 4 , step: 16000, loss : 0.712701797485,auc : 0.562362849712
itr : 4 , step: 17000, loss : 0.643182456493,auc : 0.562887847424
itr : 4 , step: 18000, loss : 0.72319316864,auc : 0.563395857811
itr : 4 , step: 19000, loss : 0.686855375767,auc : 0.563921272755
itr : 4 , step: 20000, loss : 0.633327305317,auc : 0.56443887949
Eval train : loss = 143.812786162 auc = 0.645153828045
Eval test : loss = 23.5072827935 auc = 0.580897099937
