itr : 0 , step: 1000, loss : 0.692308187485,auc : 0.500785946846
itr : 0 , step: 2000, loss : 0.714027523994,auc : 0.500754535198
itr : 0 , step: 3000, loss : 0.737070083618,auc : 0.50128608942
itr : 0 , step: 4000, loss : 0.690047025681,auc : 0.501635015011
itr : 0 , step: 5000, loss : 0.717654287815,auc : 0.501892387867
itr : 0 , step: 6000, loss : 0.697906136513,auc : 0.50228112936
itr : 0 , step: 7000, loss : 0.738961577415,auc : 0.503390669823
itr : 0 , step: 8000, loss : 0.704522550106,auc : 0.504556536674
itr : 0 , step: 9000, loss : 0.785410523415,auc : 0.506994783878
itr : 0 , step: 10000, loss : 0.700260639191,auc : 0.510486662388
itr : 0 , step: 11000, loss : 0.697332561016,auc : 0.514912605286
itr : 0 , step: 12000, loss : 0.687330722809,auc : 0.521058499813
itr : 0 , step: 13000, loss : 0.678339004517,auc : 0.527514815331
itr : 0 , step: 14000, loss : 0.628240823746,auc : 0.534063160419
itr : 0 , step: 15000, loss : 0.672068476677,auc : 0.540313243866
itr : 0 , step: 16000, loss : 0.687605917454,auc : 0.546330571175
itr : 0 , step: 17000, loss : 0.627537727356,auc : 0.552368044853
itr : 0 , step: 18000, loss : 0.662082850933,auc : 0.558220684528
itr : 0 , step: 19000, loss : 0.633557617664,auc : 0.564200043678
itr : 0 , step: 20000, loss : 0.709158062935,auc : 0.569951951504
itr : 1 , step: 1000, loss : 0.667915225029,auc : 0.577456831932
itr : 1 , step: 2000, loss : 0.592845022678,auc : 0.582342982292
itr : 1 , step: 3000, loss : 0.637308120728,auc : 0.587275981903
itr : 1 , step: 4000, loss : 0.58949637413,auc : 0.591875135899
itr : 1 , step: 5000, loss : 0.630635142326,auc : 0.596357762814
itr : 1 , step: 6000, loss : 0.566575288773,auc : 0.600792706013
itr : 1 , step: 7000, loss : 0.647661149502,auc : 0.605164289474
itr : 1 , step: 8000, loss : 0.606217563152,auc : 0.609203398228
itr : 1 , step: 9000, loss : 0.66852581501,auc : 0.613214671612
itr : 1 , step: 10000, loss : 0.621340930462,auc : 0.617173314095
itr : 1 , step: 11000, loss : 0.595352292061,auc : 0.620913088322
itr : 1 , step: 12000, loss : 0.617596626282,auc : 0.624614238739
itr : 1 , step: 13000, loss : 0.605377912521,auc : 0.628203332424
itr : 1 , step: 14000, loss : 0.523552536964,auc : 0.631732463837
itr : 1 , step: 15000, loss : 0.620626926422,auc : 0.6350492239
itr : 1 , step: 16000, loss : 0.613974571228,auc : 0.63823312521
itr : 1 , step: 17000, loss : 0.50881421566,auc : 0.641387701035
itr : 1 , step: 18000, loss : 0.638878822327,auc : 0.644493043423
itr : 1 , step: 19000, loss : 0.54128408432,auc : 0.647637009621
itr : 1 , step: 20000, loss : 0.632832467556,auc : 0.650692999363
itr : 2 , step: 1000, loss : 0.593198120594,auc : 0.654805183411
itr : 2 , step: 2000, loss : 0.546329379082,auc : 0.657621264458
itr : 2 , step: 3000, loss : 0.555689096451,auc : 0.660522520542
itr : 2 , step: 4000, loss : 0.5475025177,auc : 0.663215517998
itr : 2 , step: 5000, loss : 0.543722391129,auc : 0.665923297405
itr : 2 , step: 6000, loss : 0.505517482758,auc : 0.668603539467
itr : 2 , step: 7000, loss : 0.627951741219,auc : 0.671237945557
itr : 2 , step: 8000, loss : 0.56721663475,auc : 0.673701882362
itr : 2 , step: 9000, loss : 0.662585377693,auc : 0.676200985909
itr : 2 , step: 10000, loss : 0.585156321526,auc : 0.678661882877
